01017,34320,36614,-6.3,-2294,36583,2046,6.0,7710,22.5,16.8,5759,52.6,20950,12958,58,82,0,272,511,20533,61.0,37.8,0.2,0.2,0.0,0.8,1.5,59.8,426,471,5,63.6,0.8,2.3,64.2,9.5,9207,22.0,17258,979,6.0,75.7,58900,7.7,14522,2.48,15147,35614,18.7,882,25411,14112,2571,18.2,14534,-2028,1683,438845,30194,585,6673,-42.1,2123,26403,2051,0.0,0.0,0.0,0.0,0.0,19.5,750354,15514,241756,6686,16,2527,104973,262221,7617,597.17,61.3
04019,1020200,843742,20.9,176458,843746,69857,6.8,238950,23.4,15.1,153660,51.0,893722,40483,37023,27497,1689,19786,343955,574387,87.6,4.0,3.6,2.7,0.2,1.9,33.7,56.3,13819,7975,101,46.2,11.9,27.5,83.4,26.7,155566,23.9,428564,61832,16.9,64.3,114600,25.1,332350,2.47,19785,46653,15.4,31647,31755,489221,40536,8.3,528850,84484,85807,20677670,39099,21265,328976,12.1,57659,1387756,62086,1.5,1.2,2.6,13.4,0.0,31.0,6832629,2842167,8693151,9906,2129,407277,0,12314955,12169,9186.27,91.9
05005,42157,38382,9.8,3775,38386,2068,4.9,7732,18.3,27.4,11535,51.9,41073,263,229,140,11,441,618,40483,97.4,0.6,0.5,0.3,0.0,1.0,1.5,96.0,393,689,2,55.0,1.6,3.1,77.5,12.8,9364,18.4,21559,1669,8.4,79.7,84500,7.8,17052,2.21,16859,34666,16.8,1212,28944,17492,1509,8.6,22904,2273,2001,657592,28711,1150,13044,9.7,3356,38913,3897,0.0,0.0,0.0,0.0,0.0,20.2,464077,0,369210,9522,17,3330,97150,352935,8380,554.36,69.3
06045,86040,86263,-0.3,-223,86265,5669,6.6,19263,22.4,15.4,13290,50.0,76168,782,4993,1291,243,2563,18046,60131,88.5,0.9,5.8,1.5,0.3,3.0,21.0,69.9,1147,792,5,56.1,10.2,16.1,80.8,20.2,18378,20.3,39186,2250,6.1,61.3,170200,12.9,33266,2.53,19443,43134,17.7,2804,32614,43449,4554,10.5,51867,2078,7649,1662959,32062,2670,24466,-1.2,8217,156739,9847,0.0,0.0,2.8,0.0,0.0,31.0,738344,397135,910183,10390,114,17245,608674,754123,8746,3508.97,24.6
08031,610345,553691,10.2,56654,554636,51751,8.5,140109,23.0,10.2,61984,49.4,504743,62382,8456,21147,1528,12089,206928,312274,82.7,10.2,1.4,3.5,0.3,2.0,33.9,51.2,10974,4238,68,42.7,17.4,27.0,78.9,34.5,105943,24.5,279557,28488,11.3,52.5,165800,44.8,239235,2.27,24101,46305,18.0,30949,53098,321346,27547,8.6,560935,-7177,75394,38822052,69210,22180,402762,-2.1,48735,1669129,59271,3.6,0.7,3.3,7.1,0.0,27.0,4179072,20041482,6405054,11485,888,138427,609,6888010,11505,153.35,3625.1
09011,266830,259106,3,7724,259088,15360,5.8,58117,21.8,14.0,37391,50.8,230521,17136,2515,9958,265,6435,18583,215308,86.4,6.4,0.9,3.7,0.1,2.4,7.0,80.7,3084,2206,18,55.2,5.4,10.3,86.0,26.2,41154,22.2,117295,6613,6.0,66.7,142200,28.7,99835,2.48,24678,67484,6.9,11478,43513,150818,11628,7.7,173983,12040,47428,9079416,52186,6016,108604,2.7,16031,2380268,18942,0.9,0.7,2.0,1.3,0.0,26.2,3089796,0,3011905,11464,427,66547,63380,4542624,17173,665.91,389.0
10003,534634,500272,6.9,34362,500265,36062,6.7,127014,23.8,12.0,64384,51.4,379184,124560,1492,21522,340,7536,42622,341100,70.9,23.3,0.3,4.0,0.1,1.4,8.0,63.8,7390,4135,60,55.3,6.6,10.7,85.5,29.5,77673,24.3,213967,14443,7.2,70.1,136000,24.0,188935,2.56,25413,63301,9.6,24086,45755,270802,21911,8.1,360929,8905,39136,21710561,60152,16326,277797,-1.5,30537,755783,39463,7.1,0.4,3.4,1.6,0.0,22.6,12536817,16360164,6936307,13594,795,62308,66981,3359110,6342,426.27,1174.3
12019,186756,140814,32.6,45942,140814,12313,6.6,49522,26.5,11.1,20704,50.6,156753,19737,812,5465,159,3830,14128,144009,83.9,10.6,0.4,2.9,0.1,2.1,7.6,77.1,2420,1335,11,49.8,4.5,7.7,86.4,20.1,24107,33.5,73208,19461,36.2,77.9,108400,11.9,50243,2.77,20868,61057,8.3,5880,32364,95500,8887,9.3,65010,10363,7638,2033177,31275,3780,38979,24.6,11121,149730,10647,4.1,0.0,3.4,3.0,0.0,29.6,0,237703,1535243,10124,532,76205,41537,895238,4846,601.11,234.3
12125,14584,13442,8.5,1142,13442,850,5.8,2850,19.5,9.7,1408,35.6,10857,3352,102,56,3,214,629,10322,74.4,23.0,0.7,0.4,0.0,1.5,4.3,70.8,176,171,4,55.3,2.1,6.9,72.5,7.5,1934,28.6,4069,333,8.9,74.6,71700,5.5,3367,2.76,12333,42734,23.6,259,17297,5385,425,7.9,5368,971,2613,184996,34463,153,1840,27.3,548,2291,538,0.0,0.0,0.0,0.0,0.0,0.0,0,0,28928,2079,17,1831,46560,63473,4192,240.29,56.0
13035,24392,19557,24.7,4835,19522,1619,6.6,5673,23.3,11.8,2889,47.0,17549,6408,96,90,4,245,595,17025,71.9,26.3,0.4,0.4,0.0,1.0,2.4,69.8,317,237,3,49.4,0.9,2.8,69.8,8.6,3737,31.0,9426,2036,27.6,76.6,86700,9.4,6455,2.73,17016,45398,15.6,566,23944,10265,1172,11.4,9625,2118,1642,256295,26628,388,4499,4.6,1593,16403,1448,0.0,0.0,0.0,0.0,0.0,25.1,285130,0,170102,7948,10,751,25433,141321,5786,186.61,104.4
